no,scenario,video_id,yielding,speed,start_deceleration,deceleration,full_stop,acceleration,start_ec,end_ec
1,yielding_noeyecontact,video_0,1,15,20,-1,13.7,1,nan,nan
2,yielding_eyecontact_start_to_stop,video_1,1,15,20,-1,13.7,1,0,16.6
3,yielding_eyecontact_start_to_takeoff,video_2,1,15,20,-1,13.7,1,0,21.62
4,yielding_eyecontact_stop_to_takeoff,video_3,1,15,20,-1,13.7,1,16.6,21.62
5,yielding_eyecontact_takeoff_to_end,video_4,1,15,20,-1,13.7,1,21.62,27.3
6,yielding_eyecontact_start_to_end,video_5,1,15,20,-1,13.7,1,0,27.3
7,yielding_eyecontact_stop_to_end,video_6,1,15,20,-1,13.7,1,16.6,27.3
8,yielding_eyecontact_start_to_brake,video_7,1,15,20,-1,13.7,1,0,12.54
9,yielding_eyecontact_brake_to_stop,video_8,1,15,20,-1,13.7,1,12.54,16.6
10,yielding_eyecontact_brake_to_takeoff,video_9,1,15,20,-1,13.7,1,12.54,21.62
11,yielding_eyecontact_brake_to_end,video_10,1,15,20,-1,13.7,1,12.54,27.3
12,nonyielding_noeyecontact,video_11,0,15,nan,nan,nan,nan,nan,nan
13,nonyielding_eyecontact,video_12,0,15,nan,nan,nan,nan,0,17.48
